,HS Code,Cars Trucks aircraft
34,87032362,2. 5L＜排气量成3L的越野车
35,87034052,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过2500毫升，但不超过3000毫升越野车（(4轮驱动）
36,87032342,1. 5L＜排气量延2L的越野车
37,87034032,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过1000毫升，但不超过1500毫升气缸容量（排气量）越野车 (4轮驱动）
38,87032343,"1. 5L＜排气量延2L,延 9座的小客车"
39,87034033,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过1000毫升，但不超过1500毫升气缸容量（排气量）9座及以下的小客车
40,87032413,"3L＜排气量延4L,延 9座的小客车"
41,87034063,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过3000毫升，但不超过4000毫升9座及以下的小客车
42,87032352,2L＜排气量延2. 5L的越野车
43,87034042,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过2000毫升，但不超过2500毫升越野车（(4轮驱动）
44,87032353,"2L＜排气量延2. 5L,延 9座的小客车"
45,87034043,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过2000毫升，但不超过2500毫升9座及以下的小客车
46,87032412,3L＜排气量延4L的越野车
47,87034062,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过3000毫升，但不超过4000毫升越野车（(4轮驱动）
48,87033312,2. 5L＜排气量延3L的柴油型越野车
49,87035052,同时装有压燃式活塞内燃发动机（柴油或半柴油发动机）及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过2500毫升，但不超过3000毫升越野车（(4 轮驱动）
50,87032363,"2. 5L＜排气量延3L,延 9座的小客车"
51,87034053,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过2500毫升，但不超过3000毫升9座及以下的小客车
52,87032422,排气量＞>4L的越野车
53,87034072,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外气缸容量（排气量）超过4000毫升越野车（4轮驱动）
54,87034090,同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外其他车辆
55,87035090,同时装有压燃式活塞内燃发动机（柴油或半柴油发动机）及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外其他车辆
56,87036000,同时装有点燃往复式活塞内燃发动机及驱动电动机、可通过接插外部电源进行充电的其他车辆
57,87037000,同时装有压燃往复式活塞内燃发动机及驱动电动机、可通过接插外部电源进行充电的其他车辆
58,87038000,仅装驱动电动机的其他车辆
59,87039000,其他车辆
60,87043100,汽油型延5吨的其他货车
61,87084099,未列名机动车辆用变速箱及零件
106,88024010,空载重量超过15000公斤，但不超过45000公斤的飞机及其他航空器
