oilseed10: FAS Value BY FAS Value  Annual + Year-To-Date Data from Jan - Apr
country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018,percent
China,743760883,579931154,170498433,40134754,59649538,47218585,143172950,737755897,1417472433,1397805881,2088883846,1472670864,1645922944,1016455231,3005064379,3811022247,20454473056,19248866761,18598462600,15454933117,16517800743,14731854636,4628547656,3781726248,-18.3
Mexico,1286564639,700095224,1225126882,830555180,1006755845,1052125572,934647829,1111994467,1200410960,1068212922,1553598665,2061590233,3050418622,2046920159,2481159931,3894798567,6753567048,5284521791,5768249939,5133066701,5477476587,5974898951,1988005586,1723088378,-13.3
Japan,2778090961,2165590398,1740197951,1524123382,1560850072,1440177728,1654315393,1699318159,1980906263,1673083059,2065206083,2741469941,4020230664,2903880875,3100869380,4018977461,5387094896,4133137063,4852347944,3947794540,3828148186,4037234354,1626335312,1510441814,-7.1
Indonesia,320096446,228657408,153187290,96776091,195211744,238215328,195056581,253445779,298664299,286501886,393999238,369049759,494288158,274703151,384410120,709493017,1474596192,1557188095,1707606621,1252189006,1655254641,1861244327,760471095,688257141,-9.5
Korea,1516883545,674142911,731435839,640773850,303096045,437876164,187736967,151563094,701652906,392153052,829896953,970840950,2328242066,1255501463,1681177572,2315256262,1926668490,1167483868,2212851948,1567902440,1685274533,1746204772,773210052,828028618,7.1
Taiwan,1039633988,804601055,500239076,521886137,563930971,598272177,588493309,629159133,738176452,716233179,734572111,920165688,979288848,862119919,829354242,1032607787,1649272429,1323688284,1666054340,1360485537,1456814588,1458619391,651098013,561566106,-13.8
Vietnam,16958352,13663979,4158152,4961175,13903533,28856485,27243368,33170265,66488437,49336545,50609933,106058738,228475649,231303792,337396074,489694922,731809026,890147613,1062948484,1119714185,1511281143,1439796750,547708264,851132654,55.4
Colombia,218713183,198716266,153581021,168089182,190624241,186467330,221197184,220479702,258449162,280898824,433796975,578506237,702380424,289516022,232602326,316228900,397593133,552269912,1328904565,1201544826,1224719167,1238056857,558692782,528005621,-5.5
Netherlands,31707196,8048154,5740587,5811718,5222330,4969536,4858321,2159756,4761317,5554607,1501864,8252716,2150339,1204039,1521205,33414636,57395423,93181974,441424323,459424053,801965201,1139806230,619622581,386498454,-37.6
Turkey,105474041,227214708,208995063,117221427,293439536,215448785,309662687,497223260,521473665,532298351,513239682,864704662,722404870,545254705,923167080,1188625653,1107859484,1153913331,1299330946,713883489,692722947,1085042841,454905789,460276375,1.2
Thailand,116814909,80252852,70185717,30905123,70655022,105226866,123851990,144864566,189555985,187232602,155063895,211437737,319720396,221456099,312101358,454234015,823358335,636520776,671044757,705690060,816082783,983497925,296977274,416748452,40.3
Bangladesh,35947074,62135107,71662847,28514151,51058761,75987948,65912542,56510172,73679000,42280119,40234877,60121817,101249985,124832071,163511043,329951311,116340414,169035319,282409777,406686653,381306722,790492971,294980000,328609774,11.4
Peru,55834419,32734539,93749419,77690971,44072517,53586128,52775546,47615814,66464254,58735126,87702963,157344908,124545401,167833935,258866925,227384191,202962074,413464401,801421773,547336895,667564495,751928776,283805074,256035158,-9.8
Pakistan,10039308,20541244,18129489,12436456,27978042,60662363,91603391,171945447,179572283,152522884,117100380,257788132,159839745,187536660,146474978,257578244,128608887,193468282,89188961,253360995,393163076,736730669,314412801,514297570,63.6
Philippines,111567642,41902546,54790080,20266284,37466135,36500668,37134025,22057273,34410243,37518381,25875552,29392530,34771944,44289141,37327928,60911220,688022404,687013072,820187501,625022516,758847001,722482333,218424401,228876361,4.8
Egypt,333318426,260274303,187846386,282656019,344768732,397648941,385115725,363292020,349585835,363147245,451279805,617579897,627414671,405734805,693254406,782206762,1075219410,888924108,1138367288,497662847,333384553,485077929,196948979,549268317,178.9
India,1541557,6146972,10026698,14996562,29513423,194366387,86500666,135400652,58182299,42121363,53204619,79553235,103797530,104925741,69043712,92392758,73575820,90334324,89514563,123617742,261949985,437788628,173375199,181911962,4.9
Canada,253303370,222995153,255753180,165142079,242097384,381250113,482251037,486618885,355247509,315034434,302435856,517478593,666056477,437492966,407841935,422179996,474349206,383094326,429070967,420207164,379683240,425230884,132015311,172470227,30.6
Nigeria,5800,641627,0,10000,7592,12960,2967919,94691,0,7800,1912578,17155,1087206,4500,99016,245133,963046039,960718892,706143645,539575002,292134644,410784421,166783897,75737048,-54.6
Saudi Arabia,138482391,129285964,109169961,108929834,108672466,86737468,53870325,22601782,32294576,17208588,63153009,147858529,142443392,95198219,130502867,188336695,323165740,227131680,349577816,304230334,432626758,393509428,215565040,101173242,-53.1
Malaysia,185955026,29818416,38057357,43346156,7970354,17833799,6646831,22357941,11219543,11229849,16910484,59236420,73743611,60856524,44633309,103439418,264375128,262621343,248134692,263444321,283850861,373665442,173890896,111073492,-36.1
Guatemala,86774430,73457007,94624441,50773500,72110744,64787780,77097688,80242967,96448731,107990307,132666512,153490897,208776207,159177232,184538561,272823682,344038856,306501507,390282353,367632669,367486348,344630832,121871200,127527886,4.6
Costa Rica,61613268,48104509,43074392,38855416,47487700,48044304,53217383,57577356,74813363,70361794,80084285,111403374,180547567,125467440,132092167,222462497,338358178,177490214,281132361,291752542,308933494,309709165,92796781,101136871,9
Spain,181015271,154328883,36793621,9353696,11423571,5509391,9601231,5787669,10844298,12524665,6103841,16945878,8716947,3131582,23758192,111762736,459830824,602894120,711966713,458722210,426855409,290677039,92773049,238886872,157.5
Morocco,51516965,37618496,39865996,47561434,63595580,42061515,39098978,35086533,74133141,77615250,129031124,158672353,103421810,147486104,103082975,155473006,130664834,132570917,135709482,138392421,296126175,243363545,177870163,147066204,-17.3
Germany,34221330,16687127,16796305,13231666,21413240,15572723,21122014,21760932,10295598,17210735,16511512,17039359,14563760,11034638,31846182,57609647,895429902,752518293,593717094,821886804,468874389,232320273,3523714,62203218,1665.3
Dominican Rep,103743934,91871436,69726715,89442985,96230183,106252565,104551936,101568992,84298122,97430772,146844257,189393636,254634091,175944759,177133383,214459213,214049034,181396977,291666535,179136235,171539858,181474590,97874371,72522600,-25.9
El Salvador,63544573,70508728,80748190,44727416,60499338,65186265,46364047,70302984,89506498,74439583,103560802,128271114,154813948,121956213,148301278,270673439,234567511,197738095,231747565,201968453,200316386,180431462,63099678,64971968,3
Algeria,93761777,109315621,84236960,79251615,101365573,109808667,131036996,101137979,128384708,93382627,134799451,207629171,69872084,16178413,10818736,0,90458664,59558533,87299913,76864570,191547887,170799932,51201592,56257006,9.9
Venezuela,128313604,133453267,111124592,107008590,114707471,100093783,72320807,74769706,79716654,25324995,19402695,97040767,319882629,253089743,201968617,250646646,702629922,589111104,487707142,224898963,321306449,170524997,34443948,104320322,202.9
Italy,55299945,26846545,32733197,12694949,35840456,23795635,23583793,30315380,26225930,17522810,12894873,24630488,16810894,7103933,13848403,48963906,177003208,288644619,169792011,277463035,188341356,158133919,47088320,52034447,10.5
Honduras,9509912,18809580,12299566,9619783,17686971,23611297,24966110,30442660,34526354,43243348,62182924,79071465,95120706,83439648,74161300,165000144,176107453,170890265,197490755,152125153,187287364,155314425,58726268,62480056,6.4
Panama,28596466,22703015,29867355,29010151,28280383,26782284,29578967,33856087,31945036,31428012,35054232,62215894,97160316,72449333,71805355,92390543,66924770,113861634,132805659,113430176,133594649,129338093,42181284,46566679,10.4
Brazil,75122247,91409104,58062127,8300053,59289120,4001282,31667097,73605277,86010196,18247093,67016700,44422697,27192411,14589954,45468492,321567502,16264171,1254748921,766558855,107950784,363416691,106443963,74800125,13302199,-82.2
Israel,103093157,52138915,16584258,55432930,74431187,50952076,71103799,81230131,108320956,29865501,123306717,170267343,224072069,42045121,110943631,212596212,212487917,187063787,256779277,74576401,174745670,99491661,24889018,62299760,150.3
Chile,53464510,24954510,32544391,51055968,28287037,1686907,6827429,12388406,3099414,6484371,59245620,80339956,81916499,26127718,19939707,20416403,86128806,204095919,101116676,71470723,199583923,99053274,46170015,20231536,-56.2
Jamaica,31488597,26832438,23081827,23182317,21711749,21006943,26984477,23306484,26241071,24569498,39179941,42040330,59377761,45586858,48606976,76461977,138970638,158359080,130108792,108410929,92984420,95705562,31533473,32937139,4.5
Tunisia,24649529,23716461,19348972,46140464,47928523,49619303,50417533,29126163,62340260,18380159,63750572,98770792,43597924,13353415,54270378,36982130,143032675,118423952,129554116,84153821,185834228,92618821,36210247,73209526,102.2
Ecuador,41734007,34376455,50443243,29188331,38413126,34444182,45830999,40124987,70070587,53229686,68620789,106798290,65693903,76846810,57375964,92398426,82787658,101237358,103618272,96983567,74472096,89623930,42263968,32420786,-23.3
Ireland,21167102,32443954,44546377,28965617,20012585,26974836,34036895,33023189,29391768,21575419,15721365,13487230,26749700,22988973,55157680,59471897,32602159,85342938,96411561,65277375,101713048,85925601,26687738,24737480,-7.3
Yemen,2759464,5104204,5886729,13183780,555573,305278,3651590,16985,2980613,74700,0,7990026,175520,0,0,0,123024198,136320188,88483919,95960832,91953569,85667849,25593931,23345843,-8.8
South Africa,30036043,11149532,339797,31912050,8912571,3328524,43934856,2571108,8322202,171786,4928571,267914,244609,67619,252780,4166342,22375703,36747512,21381021,19020609,99981057,83875877,63435798,5356660,-91.6
United Kingdom,45823578,43731113,21809538,19136305,13868701,15946035,12892772,26143917,33369657,28988771,15505198,18531616,4746771,6631506,23115416,29829197,129947218,140686400,176411072,133866495,159789570,81307247,17281305,14246556,-17.6
Portugal,86163465,70297422,14581140,6963820,9852378,6869347,7475252,7998905,11413254,7222789,5896658,7590471,18014873,800384,7753906,103793745,95193671,40887281,243398811,108084816,55018980,78714789,7131234,22144578,210.5
Cuba,0,0,0,0,0,2327201,22738930,36142862,60422510,52130501,43017727,123262120,219347216,143685186,109068113,149953971,226223449,111097058,58818201,15231357,57628602,74421246,29841896,27472020,-7.9
