pork: FAS Value BY FAS Value  Annual + Year-To-Date Data from Jan - Apr
country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018,percent
Japan,724597202,639779285,560146751,590408010,663282097,777646346,707609143,684767307,876730773,981547258,902859127,1008705014,1462683300,1486309796,1578951774,1910731251,1937407647,1842522390,1870586783,1508273385,1497748606,1561846488,520605639,521209734,0.1
Mexico,70444179,88598159,107890636,101006172,179791107,194866732,152776305,187818908,375100867,340803093,362367666,308071569,499353386,539433113,652659005,697845008,851711199,950155243,1278077242,1025593115,1142780623,1279138561,403883235,424912119,5.2
China,700837,4508788,7607379,3915566,5061739,15833942,12855039,13576533,34373771,54268708,45281116,136936924,258136703,55272276,130527491,620612426,630076944,622169728,395444459,318248520,574992264,487852349,175949175,165741544,-5.8
Korea,22375827,27595192,16722895,33006157,25601163,19224841,27667263,71119162,49651047,146272972,219168149,217166896,264516477,200614416,175748283,483766427,398520750,246987916,412520388,447355390,337932257,440545449,167671373,256124065,52.8
Hong Kong,36753915,48491932,42220054,28739446,30168543,31144323,18895575,23054630,19241162,19940496,36246619,73777225,342769126,284297030,213850367,183377203,171624683,180901150,290712161,269872385,346026147,402594187,125480050,113299051,-9.7
Canada,50386057,81058625,68553198,62662627,81375225,106486323,117063155,124804523,188457282,277126454,309182103,368569125,418656719,364963941,424937496,475383480,503036829,441007052,474804764,384065544,389723425,390108020,126686963,111400898,-12.1
Australia,267328,31155,353907,0,279613,11016,1237063,52714,3281096,48764437,47614393,64626472,84053320,91839344,124911836,180364671,182140992,150363868,158126753,140384659,150038259,173748098,61595398,67951803,10.3
Colombia,912356,1957489,8921152,5984012,4830400,3919912,3084981,2436106,2236258,4855577,4685810,5680278,9795159,8047064,15989156,25020690,47383404,78480277,123149955,88208106,94198272,150079684,44659894,63949900,43.2
Chile,181511,16940,46719,6233,23163,10956,22808,86665,43673,638360,934354,4006742,4748144,2644589,9785295,25587006,33593077,45919531,37458164,32017728,45593623,72273132,19453490,16610233,-14.6
Dominican Rep,274583,102238,4280103,4871257,1406955,1677532,2230547,905080,2538378,5159676,5131733,8734952,22742280,30526492,34239298,29486030,32425353,38522351,42422549,47208953,48856615,62231772,22103474,27408705,24
Philippines,1951689,2511857,1411494,2192866,671214,1312933,1368912,396137,1353013,2882527,3983289,9257370,40091935,58192972,79244732,65064799,60699001,74047746,63737832,40625508,44048484,55819827,13695571,16541084,20.8
Honduras,103008,461552,1271977,2739913,2400313,5512681,5343706,6356414,7693168,10676507,15247877,18848061,23306857,28598664,42859944,44569313,43313462,49924275,42912467,41510995,46194551,52261669,16090246,19302662,20
Guatemala,346876,1061018,1154084,2646603,3343473,4344856,4571083,6501271,5357542,4945627,6987088,8884436,10089930,10588574,17716552,16623949,19883678,22968366,31313905,29339540,31446007,35178179,9682812,11783328,21.7
Taiwan,14062893,2071624,17193228,41926150,36269695,16163896,21751233,30269070,54083616,38317861,34903687,21649413,47737265,60760631,51425810,49736508,37634137,36711677,31502175,35533002,19493331,29806904,8728540,10604169,21.5
Panama,173212,358777,3193055,3221336,2166758,2890147,1937050,684085,930195,1811407,1960509,4216533,3558606,4177633,4420451,6831534,8547707,17044806,15464106,17048895,19421809,17654463,2593424,3892017,50.1
New Zealand,23117,60677,594841,518991,0,847781,3568984,1788885,3811101,5893701,9898106,9586930,11569890,12646897,14521827,14431474,22071106,20699904,18754673,12425683,12570378,13613812,4083508,4821956,18.1
Nicaragua,0,0,79962,320820,562260,427898,539686,503595,139017,321918,365017,246555,476322,754549,1040801,3267822,2999898,2566719,3712516,6716001,10146921,13222329,3982892,5299042,33
Bahamas,511986,2142468,1565581,740927,496089,1439929,1688269,2113991,3424019,5216442,6290298,5184716,5137694,6499250,6875971,7583117,7305806,8328901,9675770,9176189,11765140,13104591,3764726,3585020,-4.8
El Salvador,133600,232889,1108084,1412622,1195899,978528,1925675,1866694,1349286,640898,3392253,3034079,3485652,4795329,5863817,4744390,6803766,7981935,10012145,7331430,9144985,12045520,3029562,5255728,73.5
Singapore,787605,1604721,1106582,921955,1677094,2335789,753384,937301,1241541,2457462,3218130,3978519,23227007,13859296,20431193,23169260,21782444,38711158,64609931,9617312,8066457,11640253,2240921,2366149,5.6
Vietnam,4238,60846,0,0,0,0,0,0,22050,141365,87832,4241253,31082316,11468548,3487620,7139826,4016443,2905501,1454153,2731670,3715376,11303550,1485900,6171507,315.3
Costa Rica,362119,878143,843729,1169121,921114,431855,274676,127171,249257,359616,433787,503693,650337,881857,4472533,3174502,3864731,9028284,9905553,8671446,10228960,10822361,3488015,4481156,28.5
Peru,51083,448564,24435,110807,50229,13195,27800,50277,0,0,208586,0,21839,529482,776956,786948,1707952,2741578,3699295,8111418,6306220,10062762,3781770,3322782,-12.1
Trin & Tobago,597015,593211,425651,516005,923646,933449,436328,928217,1367131,2846826,3827057,3948054,5699203,4084781,7227845,7501969,7194741,7467455,9190655,7668067,7028068,6858422,2613985,2061979,-21.1
United Kingdom,5098526,9702638,18130011,5721907,3687013,7562992,5790712,9794581,12441729,8260426,13255438,9003816,29102362,16710889,9518898,3938743,3319482,4829369,4984785,3978220,3640452,3544318,949574,1207467,27.2
Aruba,414969,502202,332374,262110,264521,279584,252800,99102,385053,355477,903942,1241350,1313593,1150450,983266,1020974,1122117,1466121,1408687,1150146,2349413,2647884,753174,652760,-13.3
St Lucia Is,121389,60458,52965,107352,140534,158008,177269,197483,156507,168218,293170,408709,841216,481241,576790,832505,1186596,1168709,2691881,1231127,1419545,2032401,560145,579218,3.4
Netherlands,1480611,1056352,4762765,4559758,590396,723833,404599,1745046,2314437,4869923,5791062,5214092,8892293,3211501,3807885,5515790,3910710,2347069,1894806,2529669,2594007,1806688,567714,716391,26.2
Haiti,1357558,625922,877197,922838,1136323,1171018,1288250,582241,1521341,3361225,3356270,2440655,2506055,2960387,2935579,2026306,2297740,3327977,3240650,2291161,1660014,1781980,694800,643260,-7.4
Germany,1219192,1151589,884585,385165,653428,687889,5677755,11655966,407426,2462274,2388571,4397352,6482687,3253803,3039533,4783616,3915712,3649712,2075776,3340917,2105670,1745195,817074,1330976,62.9
Indonesia,3093,1105553,193975,154516,442389,96241,339515,112193,645557,679507,6000,35532,74030,7000,134729,843681,1514309,1242324,1488722,1493452,1212770,1482752,25000,763919,2955.7
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246084,1428030,1976108,1631563,1148980,1395907,1470944,274829,329243,19.8
Albania,449617,232820,248135,31073,0,88346,22455,24494,0,0,0,95689,3097520,2491663,2225328,3060123,11078989,8900715,996128,1429699,742425,1463685,455050,775196,70.4
Turks & Caic Is,164238,114869,15729,63042,31075,78726,75642,147134,68298,150695,199988,234903,770860,501571,322265,460206,595502,833898,946508,569417,1228360,1340815,422021,503358,19.3
Barbados,345604,150338,206635,422435,144842,187916,81010,109712,50757,40569,112262,139597,266262,295594,139138,613104,989665,1212185,1265318,1647049,1368544,1334695,472517,439934,-6.9
Ecuador,74001,96341,66290,0,73918,245989,205014,40673,187143,1159310,737411,556091,2360352,1705490,3198394,4205417,3875801,5295305,5348690,4528721,542964,1238121,243222,299208,23
Antigua Barbuda,47513,51266,39514,30344,39101,42567,17468,54514,76426,143766,132934,217442,535378,277700,428136,361369,682300,467378,1088127,774668,1192589,1224397,287930,317205,10.2
Georgia,0,0,1203229,0,0,0,135814,85980,202546,147203,46631,157893,2004396,723785,2138732,1779365,1049388,2251190,1558115,311003,203990,1185950,697522,0,-100
Cayman Is,16768,83130,118038,57985,148086,225426,546846,79633,426825,676775,2541672,1554559,1398928,1066608,1209689,745147,848643,757295,1042314,1055438,1038014,1143806,360668,411181,14
F St Micronesia,181711,380221,65628,80029,36830,199519,151008,256105,144024,147676,49056,138090,439279,597613,780545,538180,546150,532511,759616,740850,816485,1007116,193123,190210,-1.5
Belgium,331742,1102461,1346557,325833,219307,188949,220167,786105,818142,1894148,1394484,1546528,6356023,1734305,1934245,2704644,2391165,1062341,823176,996578,1447037,810387,147818,144074,-2.5
Belize,117814,35350,6821,16775,18702,84883,240467,90127,240938,20345,82067,87163,246297,277219,203562,420107,343587,194281,497123,362619,644528,741482,95685,161152,68.4
Italy,732820,11751832,4310120,5115429,4112444,4215037,1841951,1696798,269943,919356,796212,3433949,5756935,2415642,4265216,1526323,624262,512756,643504,218694,731281,736696,60763,164303,170.4
