country,Japan,Mexico,China,Korea,Hong Kong,All other
year_1996,724597202,70444179,700837,22375827,36753915,135793943
year_1997,639779285,88598159,4508788,27595192,48491932,190603747
year_1998,560146751,107890636,7607379,16722895,42220054,230904731
year_1999,590408010,101006172,3915566,33006157,28739446,164513486
year_2000,663282097,179791107,5061739,25601163,30168543,240212244
year_2001,777646346,194866732,15833942,19224841,31144323,220334764
year_2002,707609143,152776305,12855039,27667263,18895575,214802597
year_2003,684767307,187818908,13576533,71119162,23054630,227731870
year_2004,876730773,375100867,34373771,49651047,19241162,354928297
year_2005,981547258,340803093,54268708,146272972,19940496,558874236
year_2006,902859127,362367666,45281116,219168149,36246619,682864233
year_2007,1008705014,308071569,136936924,217166896,73777225,807776054
year_2008,1462683300,499353386,258136703,264516477,342769126,1346699644
year_2009,1486309796,539433113,55272276,200614416,284297030,1022012541
year_2010,1578951774,652659005,130527491,175748283,213850367,1151570832
year_2011,1910731251,697845008,620612426,483766427,183377203,1271115121
year_2012,1937407647,851711199,630076944,398520750,171624683,1387580986
year_2013,1842522390,950155243,622169728,246987916,180901150,1179234303
year_2014,1870586783,1278077242,395444459,412520388,290712161,1338532879
year_2015,1508273385,1025593115,318248520,447355390,269872385,968305506
year_2016,1497748606,1142780623,574992264,337932257,346026147,1004348038
year_2017,1561846488,1279138561,487852349,440545449,402594187,1183058322
