country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
Canada,12157221089,13846775543,13024549264,14019683671,14127324154,13189822117,15462393696,16192835928,16591569764,18920243055,20310498625,24850749943,22422549449,14196804127,19888847588,20341897359,20933555680,22720820210,22853499499,21556438638,23044500450,24105140684
China,1322074089,1787142715,3139385426,1991836977,1432239472,2084940840,3091469684,2217573708,1727011773,3956147542,5730022870,6832817816,5076423868,939960399,3104917989,4942861480,5325363715,8641245604,11331314710,9192313565,9296652753,11053198903
Mexico,1327098139,2438606773,2715428970,2432694549,3569419851,4411673649,4297337425,3994756550,4954043937,4866933088,5255196560,4803351332,5069030649,2878220799,4068250927,4558759110,5223403229,5624612636,5706586482,5344366670,5962081442,5597686161
Germany,1562968884,1955570668,3367170742,3108659902,3217618701,3401483775,3378043325,4263643453,2567742643,1873666334,5424068478,6640597257,8595085428,4773742637,4016488196,5337321980,4394110257,3656744165,4063481282,4445532445,4925471560,4513966520
United Arab Em,573527581,661801490,433154514,758837084,266333207,340474374,1034827421,871519588,343474275,2853923776,5010907611,3945450812,5448718848,858165069,1337845219,1561029080,2483845009,2474800962,2530830317,2951791742,1830213354,1752402638
Australia,606710137,445741239,471391078,803964168,838046096,696333371,2866667890,1987407460,1073146090,809026229,1034899163,876715021,1453203367,362336264,585357800,884748947,1167729415,1380664254,1784163846,2090029571,1268554442,1684453162
United Kingdom,1490760417,4002557959,4622585299,4580051908,2935305238,3212150792,1360706797,1986467743,1202268677,1040930768,1204799024,2044354423,2382217827,588291915,994765605,1408267154,1006898784,1044152015,1480777133,1747306776,1701938235,1476058470
Saudi Arabia,890814385,1914953170,3727482229,2315279466,1197472016,1451221118,583542315,463329000,538634910,1076264942,1900703834,1867041518,3002897304,1733535026,2927642234,3500613920,4981488545,4454527307,3762469414,3403846809,2824272052,1437692689
Korea,1550964344,1472122848,689902870,988322885,1252285692,1632669694,1686843081,1178907924,1192175700,1375959883,2574414295,2582377378,1701793127,125596564,573632864,557228539,761880732,703027680,1134213479,1057764962,1433701514,1423272287
India,370341252,163126519,330409762,310915044,203548833,268270027,214013318,173952925,201230521,468353684,1318481485,5692239095,2219236828,15335306,46903829,81622690,99122900,1211941346,1414227065,414130006,95698320,669356180
Japan,3783110433,3926098726,4163036863,3097384788,1750080142,787612455,2053090690,3024262843,3195524093,3403748268,3888501709,4569801845,4514764852,475783272,409291524,580603864,1058530257,525959330,583434356,494394238,431809304,551861150
Kuwait,321211122,187980083,436361094,64684459,91434480,140113997,189272216,285291476,245736748,416484895,559512580,546959049,662980365,433514678,628872911,747953543,830103526,872516755,1258330595,633537801,550868256,500453469
Norway,159796294,177221689,183534104,133286535,236026586,219165993,152594486,23916524,48362869,54369375,31601198,98031534,367333966,19595427,27641002,34797486,110722709,206018011,418360329,174363891,303933742,465158357
Belgium,394688989,786743640,862942704,567201245,505792825,396570930,250140143,221837660,65070562,76363898,331485949,346545144,565994088,63959881,90176183,99157135,88799376,106453790,191591620,227451416,276887638,433918568
Chile,489819731,396801453,499574241,148646761,188304577,170355174,52509760,48194136,41628615,384138986,698703520,607362339,902310666,170891828,401517155,481500090,482818897,580250739,446488353,388156987,349294585,417630578
All other,19462388339,23792263921,29284255007,26480120503,20563785518,22576611163,22684426046,21477077959,22242373010,24007027123,34056795594,43757960393,43918244369,9551882632,14355978942,17852104694,21661054669,21774933854,23289099544,19042274371,18366676319,17092059735
