country,Canada,China,Mexico,Germany,United Arab Em,Australia,United Kingdom,Saudi Arabia,Korea,India,Japan,Kuwait,Norway,Belgium,Chile,All other
year_1996,12157221089,1322074089,1327098139,1562968884,573527581,606710137,1490760417,890814385,1550964344,370341252,3783110433,321211122,159796294,394688989,489819731,19462388339
year_1997,13846775543,1787142715,2438606773,1955570668,661801490,445741239,4002557959,1914953170,1472122848,163126519,3926098726,187980083,177221689,786743640,396801453,23792263921
year_1998,13024549264,3139385426,2715428970,3367170742,433154514,471391078,4622585299,3727482229,689902870,330409762,4163036863,436361094,183534104,862942704,499574241,29284255007
year_1999,14019683671,1991836977,2432694549,3108659902,758837084,803964168,4580051908,2315279466,988322885,310915044,3097384788,64684459,133286535,567201245,148646761,26480120503
year_2000,14127324154,1432239472,3569419851,3217618701,266333207,838046096,2935305238,1197472016,1252285692,203548833,1750080142,91434480,236026586,505792825,188304577,20563785518
year_2001,13189822117,2084940840,4411673649,3401483775,340474374,696333371,3212150792,1451221118,1632669694,268270027,787612455,140113997,219165993,396570930,170355174,22576611163
year_2002,15462393696,3091469684,4297337425,3378043325,1034827421,2866667890,1360706797,583542315,1686843081,214013318,2053090690,189272216,152594486,250140143,52509760,22684426046
year_2003,16192835928,2217573708,3994756550,4263643453,871519588,1987407460,1986467743,463329000,1178907924,173952925,3024262843,285291476,23916524,221837660,48194136,21477077959
year_2004,16591569764,1727011773,4954043937,2567742643,343474275,1073146090,1202268677,538634910,1192175700,201230521,3195524093,245736748,48362869,65070562,41628615,22242373010
year_2005,18920243055,3956147542,4866933088,1873666334,2853923776,809026229,1040930768,1076264942,1375959883,468353684,3403748268,416484895,54369375,76363898,384138986,24007027123
year_2006,20310498625,5730022870,5255196560,5424068478,5010907611,1034899163,1204799024,1900703834,2574414295,1318481485,3888501709,559512580,31601198,331485949,698703520,34056795594
year_2007,24850749943,6832817816,4803351332,6640597257,3945450812,876715021,2044354423,1867041518,2582377378,5692239095,4569801845,546959049,98031534,346545144,607362339,43757960393
year_2008,22422549449,5076423868,5069030649,8595085428,5448718848,1453203367,2382217827,3002897304,1701793127,2219236828,4514764852,662980365,367333966,565994088,902310666,43918244369
year_2009,14196804127,939960399,2878220799,4773742637,858165069,362336264,588291915,1733535026,125596564,15335306,475783272,433514678,19595427,63959881,170891828,9551882632
year_2010,19888847588,3104917989,4068250927,4016488196,1337845219,585357800,994765605,2927642234,573632864,46903829,409291524,628872911,27641002,90176183,401517155,14355978942
year_2011,20341897359,4942861480,4558759110,5337321980,1561029080,884748947,1408267154,3500613920,557228539,81622690,580603864,747953543,34797486,99157135,481500090,17852104694
year_2012,20933555680,5325363715,5223403229,4394110257,2483845009,1167729415,1006898784,4981488545,761880732,99122900,1058530257,830103526,110722709,88799376,482818897,21661054669
year_2013,22720820210,8641245604,5624612636,3656744165,2474800962,1380664254,1044152015,4454527307,703027680,1211941346,525959330,872516755,206018011,106453790,580250739,21774933854
year_2014,22853499499,11331314710,5706586482,4063481282,2530830317,1784163846,1480777133,3762469414,1134213479,1414227065,583434356,1258330595,418360329,191591620,446488353,23289099544
year_2015,21556438638,9192313565,5344366670,4445532445,2951791742,2090029571,1747306776,3403846809,1057764962,414130006,494394238,633537801,174363891,227451416,388156987,19042274371
year_2016,23044500450,9296652753,5962081442,4925471560,1830213354,1268554442,1701938235,2824272052,1433701514,95698320,431809304,550868256,303933742,276887638,349294585,18366676319
year_2017,24105140684,11053198903,5597686161,4513966520,1752402638,1684453162,1476058470,1437692689,1423272287,669356180,551861150,500453469,465158357,433918568,417630578,17092059735
