aluminum: Customs Value BY Customs Value  Annual + Year-To-Date Data from Jan - Apr
country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018,percent
Canada,2841590359,3272872560,3080714056,3264256862,3540228494,3612553815,3483193012,3910723934,4667730931,5580684882,7625069489,7503363237,7444523905,4542489191,5951131882,6576745055,5838699403,6157060368,6480062944,6045807553,5568163783,6836702642,2374952670,2511620621,5.8
Russia,602433741,687870226,960868504,1123214949,1302231701,677287038,1026437493,1020719460,1720984835,1745067110,1875975275,1432088239,988315327,621491891,515175325,636619962,743289410,534819639,809753451,712745074,1334921749,1542908788,584626146,563887269,-3.5
China,9554210,9648580,41960869,23125743,22139610,22658019,40694019,66227778,170627885,469309172,686115890,707833661,588114566,634294915,740292479,331959730,324212352,588870761,781571372,1035349174,971358484,1354604632,373999886,552322460,47.7
United Arab Em,0,0,35742311,25149495,94888369,105281520,95637739,81268861,101883721,165044518,266652476,317325459,241147154,93993973,194867575,662216263,602191714,581483570,620923670,663054634,1029658106,1343702051,549773645,555868348,1.1
Bahrain,20165739,26581941,31981685,80695183,82608809,45880170,63387280,35796372,34542994,85187306,255510617,171354599,90485309,32920466,47476109,63524241,149063690,165495784,246133408,282696209,398076855,585063196,166827458,224819186,34.8
Argentina,7244612,27608486,40768879,40205619,119079447,93234517,122784535,113607627,135331975,157743552,183483515,183703375,277612235,276210793,293885982,272323318,193640538,229620462,175681900,198088367,331049826,546698496,128489245,156126517,21.5
South Africa,10701437,29689186,29145903,32987681,90701918,91576139,93507209,95315897,156380951,300462967,369487281,338804562,179339659,173695781,187053647,223255931,218335232,221299696,235034209,178031050,186028440,377253416,135395462,194806219,43.9
India,280926,16350612,13832480,19250523,41021438,14248048,11712270,15772073,28462673,61758611,70945978,60917030,74535866,46922998,48636393,54535520,69606130,64745779,88577533,144222937,110438437,369878247,72777074,199283171,173.8
Japan,243851682,293558842,289306015,278293310,341722948,207407282,193758662,193115003,246392894,271471342,263187684,252753371,215876483,145887657,220316339,252057420,217394497,317386595,324296593,278244260,279857269,311796085,92934650,166825273,79.5
Qatar,0,0,0,0,0,0,0,0,0,0,0,9305,0,3920,16741157,161968348,292009410,208912732,202364206,224196198,300731028,307030657,103932053,84176396,-19
Mexico,46808686,51269456,52139388,68380521,85444961,62790759,69629004,64111367,61339587,68013128,98654155,202034250,259331769,184636973,224757654,278479662,424870559,235925107,284257495,278999459,250405508,292119270,93513299,109786523,17.4
France,44800012,55512199,78700904,58845315,52552356,32516728,34829596,37263724,48365059,44562427,41016280,35255240,43521436,29439338,38572358,60075671,56887959,68784962,144013034,157544830,187485768,219496016,56183717,94703798,68.6
Germany,100209309,133084105,179200182,155996976,169258723,203821270,233546024,260049734,295840937,429152001,572945120,508195291,499156694,320091042,310143655,373191470,354694576,356648064,263595051,329631539,284462944,214391611,78734010,76681419,-2.6
Australia,6107133,4923534,84828370,94239118,45127051,188729790,140964438,70735889,123655089,136315935,153101236,159930435,118610555,14161476,69511318,95151703,64279003,64825647,76042648,81896021,45170142,212639795,26933945,57995375,115.3
Indonesia,59474,134532,257006,1583833,12319005,11647520,7382116,20002546,19730492,62027602,94742399,127227646,90654171,33972715,175117387,255363528,224186902,172571284,158646898,208144791,110131389,205606787,57079679,80261643,40.6
Venezuela,240827079,249653344,222768107,225030861,237806424,272420032,332287953,300998257,294752325,311516691,368741600,189635748,292928035,152099656,258158107,333420493,98693469,102844599,219704694,126472837,116038298,179896472,70235800,54310206,-22.7
Austria,8141964,16916939,26199811,17641170,25581558,28232906,30283491,32908784,43767676,66650753,88523706,105295367,119874662,79879324,92499885,106946913,122957277,107876581,126161538,141738937,144380582,137385029,45139408,47685067,5.6
Saudi Arabia,971103,55577,1673069,1354756,697456,325829,904328,360863,762676,1826577,16873383,1124388,4118554,152126,92803,110869,925420,887071,36768073,167322472,100221375,131090589,20767749,67865968,226.8
Brazil,20834662,42981917,70025614,107193795,163358380,102288096,93326399,163435229,487798867,469027915,455611223,322738939,275473132,220108479,177232716,148500790,69386107,91221191,70667574,44007273,94219566,110228758,17201751,30498996,77.3
Korea,7361986,7828196,30382129,40908927,33974949,23075300,22711656,22142333,19053366,23387073,27425630,31090117,18164822,14212092,21242493,37493538,76379140,62643953,133743956,129623540,95812213,99326526,27958675,59488094,112.8
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399313,54009945,18587174,14860138,3337622,32668137,93157973,39914531,65720436,64.7
Vietnam,0,0,0,0,0,0,53227,582720,807224,1008778,1033840,1147206,670898,171779,406945,1309097,3582789,9542117,16980492,34679264,55738702,82594555,19954526,32070964,60.7
Hong Kong,4816000,5293487,6012446,6950687,13923536,16774149,19336167,21932507,19151861,26672373,30217716,26523499,28558365,15387219,20986242,18729349,21644410,17063838,12725383,17132000,16987698,81248579,6236794,11003500,76.4
Malaysia,5019322,12134926,13897276,7489594,19129859,15714062,13773237,14371073,20676859,19747803,24660064,26562026,21411675,13810971,42179631,78914003,70587203,71938292,67246745,73771685,76839609,80268795,25039633,33049752,32
Italy,36011272,18477413,23191067,18366678,16529464,16745556,13417066,15845085,18163570,28551594,32113553,56196170,46520365,27536932,30033280,49518133,63163388,48929011,74416464,84089940,56513604,68990575,18138081,25381285,39.9
Greece,13744851,29604220,27152178,34054400,34467731,32045049,31904945,42073285,63835789,102675398,75381747,50393523,37597850,41473160,70565765,55657503,49613416,62159835,61070665,73244974,63901996,67053799,22329362,26609735,19.2
Belgium,17010022,13921646,20614930,13756237,12150402,11164468,21688899,26950974,37625383,41710064,36846862,63409737,24050721,10443845,10504110,11012599,17035863,24911910,27247975,44622183,40830890,48532499,14510008,17628319,21.5
United Kingdom,81110190,119820694,108525708,88749287,88514855,74762038,50263576,53094989,60243656,102809987,148219768,74770233,67777908,28674842,32548877,79435971,48981145,43251674,41916791,39433418,42425151,46373409,14774798,15399753,4.2
