country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018,percent
Canada,2841590359,3272872560,3080714056,3264256862,3540228494,3612553815,3483193012,3910723934,4667730931,5580684882,7625069489,7503363237,7444523905,4542489191,5951131882,6576745055,5838699403,6157060368,6480062944,6045807553,5568163783,6836702642,2374952670,2511620621,5.8
Russia,602433741,687870226,960868504,1123214949,1302231701,677287038,1026437493,1020719460,1720984835,1745067110,1875975275,1432088239,988315327,621491891,515175325,636619962,743289410,534819639,809753451,712745074,1334921749,1542908788,584626146,563887269,-3.5
China,9554210,9648580,41960869,23125743,22139610,22658019,40694019,66227778,170627885,469309172,686115890,707833661,588114566,634294915,740292479,331959730,324212352,588870761,781571372,1035349174,971358484,1354604632,373999886,552322460,47.7
United Arab Em,0,0,35742311,25149495,94888369,105281520,95637739,81268861,101883721,165044518,266652476,317325459,241147154,93993973,194867575,662216263,602191714,581483570,620923670,663054634,1029658106,1343702051,549773645,555868348,1.1
Bahrain,20165739,26581941,31981685,80695183,82608809,45880170,63387280,35796372,34542994,85187306,255510617,171354599,90485309,32920466,47476109,63524241,149063690,165495784,246133408,282696209,398076855,585063196,166827458,224819186,34.8
Argentina,7244612,27608486,40768879,40205619,119079447,93234517,122784535,113607627,135331975,157743552,183483515,183703375,277612235,276210793,293885982,272323318,193640538,229620462,175681900,198088367,331049826,546698496,128489245,156126517,21.5
South Africa,10701437,29689186,29145903,32987681,90701918,91576139,93507209,95315897,156380951,300462967,369487281,338804562,179339659,173695781,187053647,223255931,218335232,221299696,235034209,178031050,186028440,377253416,135395462,194806219,43.9
India,280926,16350612,13832480,19250523,41021438,14248048,11712270,15772073,28462673,61758611,70945978,60917030,74535866,46922998,48636393,54535520,69606130,64745779,88577533,144222937,110438437,369878247,72777074,199283171,173.8
Japan,243851682,293558842,289306015,278293310,341722948,207407282,193758662,193115003,246392894,271471342,263187684,252753371,215876483,145887657,220316339,252057420,217394497,317386595,324296593,278244260,279857269,311796085,92934650,166825273,79.5
Qatar,0,0,0,0,0,0,0,0,0,0,0,9305,0,3920,16741157,161968348,292009410,208912732,202364206,224196198,300731028,307030657,103932053,84176396,-19
Mexico,46808686,51269456,52139388,68380521,85444961,62790759,69629004,64111367,61339587,68013128,98654155,202034250,259331769,184636973,224757654,278479662,424870559,235925107,284257495,278999459,250405508,292119270,93513299,109786523,17.4
France,44800012,55512199,78700904,58845315,52552356,32516728,34829596,37263724,48365059,44562427,41016280,35255240,43521436,29439338,38572358,60075671,56887959,68784962,144013034,157544830,187485768,219496016,56183717,94703798,68.6
Germany,100209309,133084105,179200182,155996976,169258723,203821270,233546024,260049734,295840937,429152001,572945120,508195291,499156694,320091042,310143655,373191470,354694576,356648064,263595051,329631539,284462944,214391611,78734010,76681419,-2.6
Australia,6107133,4923534,84828370,94239118,45127051,188729790,140964438,70735889,123655089,136315935,153101236,159930435,118610555,14161476,69511318,95151703,64279003,64825647,76042648,81896021,45170142,212639795,26933945,57995375,115.3
Indonesia,59474,134532,257006,1583833,12319005,11647520,7382116,20002546,19730492,62027602,94742399,127227646,90654171,33972715,175117387,255363528,224186902,172571284,158646898,208144791,110131389,205606787,57079679,80261643,40.6
All other,607778364,701410536,775027342,819398943,846121695,798279358,849999456,891301000,1358502183,1867976916,1847815010,1400814897,1324028952,832504989,1068392859,1260535275,1120939031,1011989656,1233717540,1371543316,1273393560,1631425874,459139864,692445764,
Total,4541585684,5310514795,5694473894,6085624071,6845446525,6167911973,6467462853,6876011265,9169772206,11444777469,14404702405,13401610597,12435254081,7982718118,10102072119,11558003097,10894300406,10980440106,12124671952,12190195412,12661333288,16351317563,5355292803,6321609982,
