country,Canada,Russia,China,United Arab Em,Bahrain,All other
year_1996,2841590359,602433741,9554210,0,20165739,1067841635
year_1997,3272872560,687870226,9648580,0,26581941,1313541488
year_1998,3080714056,960868504,41960869,35742311,31981685,1543206469
year_1999,3264256862,1123214949,23125743,25149495,80695183,1569181839
year_2000,3540228494,1302231701,22139610,94888369,82608809,1803349542
year_2001,3612553815,677287038,22658019,105281520,45880170,1704251411
year_2002,3483193012,1026437493,40694019,95637739,63387280,1758113310
year_2003,3910723934,1020719460,66227778,81268861,35796372,1761274860
year_2004,4667730931,1720984835,170627885,101883721,34542994,2474001840
year_2005,5580684882,1745067110,469309172,165044518,85187306,3399484481
year_2006,7625069489,1875975275,686115890,266652476,255510617,3695378658
year_2007,7503363237,1432088239,707833661,317325459,171354599,3269645402
year_2008,7444523905,988315327,588114566,241147154,90485309,3082667820
year_2009,4542489191,621491891,634294915,93993973,32920466,2057527682
year_2010,5951131882,515175325,740292479,194867575,47476109,2653128749
year_2011,6576745055,636619962,331959730,662216263,63524241,3286937846
year_2012,5838699403,743289410,324212352,602191714,149063690,3236843837
year_2013,6157060368,534819639,588870761,581483570,165495784,2952709984
year_2014,6480062944,809753451,781571372,620923670,246133408,3186227107
year_2015,6045807553,712745074,1035349174,663054634,282696209,3450542768
year_2016,5568163783,1334921749,971358484,1029658106,398076855,3359154311
year_2017,6836702642,1542908788,1354604632,1343702051,585063196,4688336254
