country,Mexico,China,Japan,Germany,Canada,All other
year_1996,4749062853,405555495,3458094337,573464177,768392556,4757817497
year_1997,6197918896,613854182,4068009881,715171989,892470446,5514023943
year_1998,6882141737,804249302,3896874868,879722689,1035032803,6038139950
year_1999,7540422917,955666325,4576241658,1131108614,1134502715,6653441805
year_2000,8870066372,1214032975,6376154627,1303617415,1345150203,9289786180
year_2001,7855201476,1072894431,4948797784,1439778783,1346731987,7686498914
year_2002,8194842497,1400689106,4231550453,1248523093,1513862842,7423478259
year_2003,8310429547,1675773145,3755274160,1101752256,1383945073,7679122122
year_2004,9400127145,2369261642,4398731573,1206888393,1570786651,8736409440
year_2005,10130892016,3027050106,4409878341,1471670746,1470776546,9302569319
year_2006,10952264978,4100964847,4969005436,1623939719,1728411726,10911664026
year_2007,13085342809,6246438972,6226513983,2052894300,3097861916,14911774072
year_2008,10863335203,6173578471,6082685992,2123394807,2736472814,14618838892
year_2009,7923991227,4754160122,4552301750,1498993875,2116335388,11605396871
year_2010,10789997433,6407308200,5639374888,1651797469,2211128954,13408455339
year_2011,16029060135,7520561032,5627221720,2132529066,2378505341,14506659266
year_2012,21906705578,9642050924,6280016614,2343214425,2517408769,17248876938
year_2013,23035064176,9805972552,5904621073,2595564843,2386665276,16495047582
year_2014,25724297896,12055495705,5420119563,2727857450,2321707809,17442950863
year_2015,26947775257,12560721242,5287669181,2684496257,2370506155,17936898674
year_2016,24395932606,12297973217,5466473326,2822295082,2436328065,18426763313
year_2017,24861002945,14128776832,5535568289,3214541226,2746206943,19302611618
ytd_2017,5724958483,2955162746,1471748623,736488614,696757942,4624428103
ytd_2018,6060473636,3120160469,1287122679,816420965,653116671,4872896478
