country,percent,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
Canada,16,1306478842,1232011897,1223877197,1217762806,1349851573,1196428551,1478476148,1284727673,1705066197,2126426625,2263842485,3403841641,4472592744,2138534805,3631589540,3771075442,3620011015,3219889046,3572071685,2831349465,2319200106,3138236612
Brazil,11,591982738,675050494,565238025,584856974,752349818,484005517,659533702,460510954,949359212,917960428,823221835,826378488,786541493,280245138,529080630,1951260418,2235078691,1956507259,2450458677,1979494037,1352309487,2082126443
Mexico,11,579466594,612069325,567732674,544543582,622037334,499071508,739283161,695109738,1526021367,1543906206,1445020772,1655820133,2429677905,906319502,1539680418,1992306123,1781963252,1908598062,2420950071,1714919806,1588627493,2048976111
Korea,11,327834274,374087772,699425161,513241310,485335540,284761337,337397319,260463188,456251441,577011588,933544935,1035251026,1533260643,753374767,1222799474,2085421432,2565206421,2337383530,3388411212,2582969352,1668879041,2023980187
Germany,6,812185931,738947367,596638041,541347908,623487062,369277296,385272825,337864172,579320776,686749442,665623308,843441107,1090440600,497598146,851704825,850660854,1206550249,909269993,1052140235,1092769039,965710104,1181919557
Russia,6,318982613,605008228,947504415,138647996,257230175,216006913,298539790,63735870,872505166,573327452,1345418919,532950535,840649763,301416098,664123805,816733147,1206910753,792094559,2156446802,722836390,656421175,1096076949
Japan,6,725882020,886921212,1808673094,802053759,713177031,606748375,501960601,424584698,567677307,659250168,949579834,1009926588,1276649785,931654458,1242720715,1667251120,2070680322,1637709291,1752726455,1491414625,967818485,1061033819
Taiwan,6,208991166,216449040,286064562,339419989,530982930,255358398,241707157,252331673,416980973,459393896,760009994,911778297,725836305,354072841,602463378,811394324,907598482,857482798,1145354356,1039109504,814070431,1056347688
Turkey,3,57686319,91615001,63178708,43429074,103012509,143669751,235799756,171730278,792468471,399839988,800319904,279106420,696672989,279025479,299630207,436520144,775834666,636451081,1215430591,1261132138,846412196,625858972
Italy,3,179066851,209161248,183875770,114831883,152551948,130528185,110639061,54483311,316705342,318401341,497282292,490671672,401486461,265419648,370843258,476139677,729518440,522285621,722119399,549544627,363687100,541530003
India,3,22212653,56220945,101925209,123679555,260898591,40592894,109541053,64593203,106993858,235139730,177484840,542453617,859300831,128227364,679236493,519125788,469702610,355095738,464239683,438004183,171754780,507951974
China,2,121751663,87818917,127258881,145436780,331122507,135249302,200204122,157609645,532804469,830401775,1303431929,1891541661,3375373499,1318045490,350087820,490897627,550566197,442310853,563520859,458495516,348622960,457631606
United Kingdom,2,268532799,206657629,300471183,222075634,262714278,197238764,183256400,187604674,342780166,466829478,481851914,518559647,452949793,247853577,387102710,501262192,508569472,428454330,932179747,554356981,332363064,339948353
Austria,2,26914773,38303849,32197019,22976231,43600404,49220770,44838915,60461709,93288347,160170442,216023642,166214866,254281619,152275588,191336300,311246997,320638237,297652074,338385752,243650081,163019596,324784753
Spain,1,123379065,153954603,216428710,250012227,287943709,186335347,122969707,100459636,226861867,193701064,158248440,105871710,194290293,98052527,160553035,153779342,138599140,138425842,226051238,165038582,138451603,232208086
Sweden,1,116682229,103240863,96195788,76817334,83144165,74920291,81711253,87202831,134356323,175772065,180865088,310310042,288334761,115660226,202694721,210730516,216000462,211434957,240448343,186374956,193106476,205246556
France,1,346732568,274649889,301029287,236489447,258403381,209252087,160960559,118695231,234578659,294098562,272326339,260070196,233439492,140782764,152658246,263263619,257057548,243266083,323662213,359739134,234834338,198086113
Argentina,1,13010330,8049351,6575338,46542919,56616313,30417182,59227423,47558548,78575345,67563467,21175079,26788024,155517493,88174915,126854435,205073649,261340469,338757021,284068163,150714404,60899298,196530204
Vietnam,1,2232,0,5242,31142,2466,0,2428,67558,84933,328876,1218536,1320956,2989064,3426206,15561001,81782902,216014155,137351925,41978729,28964243,70416589,163159500
Netherlands,1,233694373,184106841,157303675,178212325,217743307,121477302,115280248,66238577,147020987,168320802,205602348,185755942,197256236,108068063,146954605,207149622,219228541,215363342,281275471,226400087,163503386,152848748
Thailand,1,5801963,4108836,13397627,20277929,120994598,21377997,52520952,21566250,73577877,92887613,218622737,173835659,128097992,21602023,18817628,55022012,86782873,69289452,35395695,39329772,28475226,146964851
Ukraine,1,221961502,128075321,194735302,115463957,284658101,85890153,59499494,19068186,207070397,307150036,749055222,523848817,1020542698,46806626,83143114,264750584,210708787,101894868,80235506,63341672,64238838,109418325
Luxembourg,0,33545040,38563202,58790320,40997819,55953657,44584834,30662610,25521249,46558763,49140844,73334541,108081129,102085302,40982989,68105628,73747837,66966092,88738147,152909360,90295982,66652831,89836806
Portugal,0,20696,227192,5093153,18964,1825733,1232192,2051708,1683569,1760185,6173211,6710276,11145979,13205655,5829251,8467954,12565457,16341811,19075963,25662059,22956828,26121631,83331653
Saudi Arabia,0,19441,603101,763281,1200869,2903780,8292427,5631222,2094075,7620012,2193263,16580454,3781744,2485149,2463674,21052428,99960499,103953740,75843780,76440618,94422543,10995504,73488297
Belgium,0,152106571,55188106,62661267,60344826,94475621,72246880,77030234,29872495,105057118,117542540,154029440,105277076,67687257,38955893,47629408,69169666,77859906,83462381,115791386,83208542,92050695,71523984
Slovenia,0,14632869,8383610,5640668,4579313,3760795,1356783,1669792,780573,1263257,1993498,3199317,6912202,14233338,8567994,10764854,41881084,47937628,48085875,55236629,52899663,43416594,60086910
