country,year_2017,ytd_2017,ytd_2018,percent
Canada,3138236612,735425063,908344403,23.5
Brazil,2082126443,435715055,518815654,19.1
Mexico,2048976111,457491736,592862150,29.6
Korea,2023980187,402746408,534811705,32.8
Germany,1181919557,235449511,295372879,25.5
Russia,1096076949,197659062,244367219,23.6
Japan,1061033819,258852130,282816498,9.3
Taiwan,1056347688,239758830,264458140,10.3
Turkey,625858972,277614018,126836138,-54.3
Italy,541530003,90430212,144154854,59.4
India,507951974,118535843,69118713,-41.7
China,457631606,109746235,129228876,17.8
United Kingdom,339948353,65769037,77677627,18.1
Austria,324784753,61939400,85896425,38.7
Spain,232208086,27576845,49689962,80.2
Sweden,205246556,50233156,52136125,3.8
France,198086113,35566346,45551614,28.1
Argentina,196530204,38997651,63007262,61.6
Vietnam,163159500,30437454,34106933,12.1
Netherlands,152848748,18862238,13541319,-28.2
Thailand,146964851,29269063,31345790,7.1
Ukraine,109418325,29125962,22037867,-24.3
Luxembourg,89836806,23717885,20631697,-13
Portugal,83331653,14441573,8937008,-38.1
Saudi Arabia,73488297,9120473,19495226,113.8
Belgium,71523984,12470290,24270293,94.6
Slovenia,60086910,11793230,14950214,26.8
Egypt,57747418,7615427,12546914,64.8
Finland,54812385,9041739,10315455,14.1
South Africa,53033252,3308528,13311123,302.3
Australia,51638631,9587231,11774851,22.8
Indonesia,46281748,3768847,41224357,993.8
Romania,42255534,8544924,22715809,165.8
Greece,39725770,61940,39925036,64357.6
Philippines,34390979,3702059,8548176,130.9
Czech Republic,27951328,4245064,5551502,30.8
Norway,24204400,12634881,4206094,-66.7
Slovak Republic,23970505,509918,234558,-54
Belarus,23338543,6509092,17026449,161.6
United Arab Em,23096877,8440118,3789025,-55.1
Peru,22901156,7193844,9296562,29.2
New Zealand,22777634,3677538,9744004,165
Denmark,22416866,5181625,2079906,-59.9
Malaysia,21625155,2531510,3488285,37.8
Costa Rica,21618460,1465112,3046314,107.9
Serbia,19402700,3824920,10880370,184.5
Colombia,17234866,1134767,7711088,579.5
Switzerland,16651776,4347716,3824714,-12
Morocco,15152522,81522,2521,-96.9
Dominican Rep,14525613,2684336,10363035,286.1
Poland,12608908,2710725,3095674,14.2
Macedonia,7907954,0,13346, 
Kazakhstan,6939004,0,3314470, 
Singapore,5030481,1003565,1586732,58.1
Tunisia,4026382,409501,2656553,548.7
Guatemala,3311123,689287,2047646,197.1
Ireland,3222804,561740,1019877,81.6
Israel,3173750,731774,958748,31
Venezuela,1539309,1493029,758358,-49.2
Hungary,1215607,167356,727060,334.4
Honduras,1143154,98936,657574,564.6
Hong Kong,1026917,65396,747425,1042.9
Pakistan,890261,142303,247861,74.2
El Salvador,720077,10329,295982,2765.5
Bulgaria,431559,153768,5160,-96.6
Lithuania,290457,14714,91176,519.7
Oman,181058,57080,0,-100
Nauru,130116,0,0, 
Chile,125678,79604,26444,-66.8
Br  Virgin Is,116361,0,0, 
Burma (Myanmar),71382,71382,0,-100
Monaco,65730,0,0, 
Montenegro,62823,0,0, 
Estonia,48485,3958,3511,-11.3
Trin & Tobago,26806,26806,0,-100
Uruguay,19210,0,0, 
Antigua Barbuda,18303,15805,0,-100
Montserrat Is,18144,0,0, 
Cameroon,14533,0,0, 
Bahamas,12500,0,0, 
Panama,7902,0,0, 
Sri Lanka,6801,0,0, 
Jordan,6699,0,0, 
Georgia,5409,0,3429, 
Latvia,4796,0,12945, 
Guinea,4575,0,10512, 
Bolivia,4173,0,0, 
Tokelau Is,4002,0,3074, 
Liechtenstein,2983,2983,0,-100
St Kitts-Nevis,2669,0,0, 
Angola,2278,2278,0,-100
Gambia,2013,0,0, 
Cambodia,0,0,49800, 
Iceland,0,0,5471, 
Ecuador,0,0,3573, 
Qatar,0,0,10707676, 
Pitcairn Is,0,0,2555, 
Kyrgyzstan,0,0,0, 
Gabon,0,0,17450, 
